"OrganismCode","CommonName","Family","Genus","Species","AlternateName","NameInSAS","Comments","ForkLength","FishID1","FishID2","Volume","Sex","Stage","Stage2","AdFin","Release","VIE","IsShrimpJellyFish"
82,"diamond turbot","Pleuronectidae","Hypsopsetta","guttulata",NA,"DIATURBT",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,"English sole","Pleuronectidae","Pleuronectes","vetulus",NA,"ENGLSOLE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,"flatfish","Pleuronectiformes","n/a","n/a",NA,"FLATFISH",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,"rock sole","Pleuronectidae","Pleuronectes","bilineatus",NA,"ROCKSOLE",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,"lingcod","Hexagrammidae","Ophiodon","elongatus",NA,"LINGCOD",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,"wolf-eel","Anarhichadidae","Anarrhichthys","ocellatus",NA,"WOLFEEL",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,"Unidentified (UNID)",NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,"spotfin surfperch","Embiotocidae","Hyperprosopon","anale",NA,"SPTFPRCH",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,"white surfperch","Embiotocidae","Phanerodon","furcatus","white seaperch, white perch","WHTSPRCH",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,"Pacific electric ray","Torpedinidae","Torpedo","californica",NA,"PACELRAY",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,"chameleon goby","Gobiidae","Tridentiger","trigonocephalus",NA,"CAMLGOBY",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,"wakasagi","Osmeridae","Hypomesus","nipponensis",NA,"WAKASAGI",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,"smallmouth bass","Centrarchidae","Micropterus","dolomieu",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,"shimofuri goby","Gobiidae","Tridentiger","bifasciatus",NA,"SHIMGOBY",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,"Pacific sardine","Clupeidae","Sardinops","sagax",NA,"PACSARDN",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,"shokihaze goby","Gobiidae","Tridentiger","barbatus",NA,"SHOKGOBY",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,"Jellyfish",NA,NA,NA,NA,"JELLYFSH",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
99,"White Sea Bass",NA,NA,NA,NA,"WSEABASS",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,"Moon Jellies",NA,"Aurelia spp.",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
101,"Maeotias",NA,"Maeotias","marginata",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
102,"Blackfordia",NA,"Blackfordia","virginica",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
103,"Siberian prawn","Palaemonidae","Exopalaemon","modestus",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
104,"redear sunfish","Centrarchidae","Lepomis","macrolophus",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105,"Centrarchid (UNID)","Centrarchidae",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,"spotted bass","Centrarchidae","Microterus","punctulatus",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,"Bell Jelly","Polyorchidae","Polyorchis","spp","Bell Jelly",NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
110,"Calculator fish",NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,"Rainwater Killifish","Fundulidae","Lucania","parva",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
112,"Striped Mullet","Mugilidae","Mugil","cephalus",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,"Lamprey (ammocoete)","Petromyzontidae",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
114,"Pleurobrachia",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
115,"Mississippi Grass Shrimp","Palaemonidae","Palaemonetes","kadiakensis",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
116,"Bluefin Killifish","Fundulidae","Lucania","goodei",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
